Time,Value,MEASURE,Description
2014,331,ERP_F_3,Females - 5-9 years (no.)
2015,349,ERP_F_3,Females - 5-9 years (no.)
2016,349,ERP_F_3,Females - 5-9 years (no.)
2017,348,ERP_F_3,Females - 5-9 years (no.)
2013,238,ERP_F_4,Females - 10-14 years (no.)
2014,226,ERP_F_4,Females - 10-14 years (no.)
2015,239,ERP_F_4,Females - 10-14 years (no.)
2016,247,ERP_F_4,Females - 10-14 years (no.)
2017,280,ERP_F_4,Females - 10-14 years (no.)
2013,270,ERP_F_5,Females - 15-19 years (no.)
2014,286,ERP_F_5,Females - 15-19 years (no.)
2015,286,ERP_F_5,Females - 15-19 years (no.)
2016,288,ERP_F_5,Females - 15-19 years (no.)
2017,285,ERP_F_5,Females - 15-19 years (no.)
2013,692,ERP_F_6,Females - 20-24 years (no.)
2014,709,ERP_F_6,Females - 20-24 years (no.)
2015,722,ERP_F_6,Females - 20-24 years (no.)
2016,744,ERP_F_6,Females - 20-24 years (no.)
2017,773,ERP_F_6,Females - 20-24 years (no.)
2013,888,ERP_F_7,Females - 25-29 years (no.)
2014,886,ERP_F_7,Females - 25-29 years (no.)
2015,906,ERP_F_7,Females - 25-29 years (no.)
2016,895,ERP_F_7,Females - 25-29 years (no.)
2017,948,ERP_F_7,Females - 25-29 years (no.)
2013,746,ERP_F_8,Females - 30-34 years (no.)
2014,777,ERP_F_8,Females - 30-34 years (no.)
2015,795,ERP_F_8,Females - 30-34 years (no.)
2016,819,ERP_F_8,Females - 30-34 years (no.)
2017,862,ERP_F_8,Females - 30-34 years (no.)
2013,578,ERP_F_9,Females - 35-39 years (no.)
2014,593,ERP_F_9,Females - 35-39 years (no.)
2015,605,ERP_F_9,Females - 35-39 years (no.)
2016,630,ERP_F_9,Females - 35-39 years (no.)
2017,660,ERP_F_9,Females - 35-39 years (no.)
2013,495,ERP_F_10,Females - 40-44 years (no.)
2014,506,ERP_F_10,Females - 40-44 years (no.)
2015,506,ERP_F_10,Females - 40-44 years (no.)
2016,498,ERP_F_10,Females - 40-44 years (no.)
2017,474,ERP_F_10,Females - 40-44 years (no.)
2013,362,ERP_F_11,Females - 45-49 years (no.)
2014,377,ERP_F_11,Females - 45-49 years (no.)
2015,401,ERP_F_11,Females - 45-49 years (no.)
2016,408,ERP_F_11,Females - 45-49 years (no.)
2017,442,ERP_F_11,Females - 45-49 years (no.)
2013,357,ERP_F_12,Females - 50-54 years (no.)
2014,371,ERP_F_12,Females - 50-54 years (no.)
2015,369,ERP_F_12,Females - 50-54 years (no.)
2016,367,ERP_F_12,Females - 50-54 years (no.)
2017,381,ERP_F_12,Females - 50-54 years (no.)
2013,319,ERP_F_13,Females - 55-59 years (no.)
2014,317,ERP_F_13,Females - 55-59 years (no.)
2015,333,ERP_F_13,Females - 55-59 years (no.)
2016,352,ERP_F_13,Females - 55-59 years (no.)
2017,354,ERP_F_13,Females - 55-59 years (no.)
2013,257,ERP_F_14,Females - 60-64 years (no.)
2014,262,ERP_F_14,Females - 60-64 years (no.)
2015,277,ERP_F_14,Females - 60-64 years (no.)
2016,281,ERP_F_14,Females - 60-64 years (no.)
2017,282,ERP_F_14,Females - 60-64 years (no.)
2013,202,ERP_F_15,Females - 65-69 years (no.)
2014,226,ERP_F_15,Females - 65-69 years (no.)
2015,228,ERP_F_15,Females - 65-69 years (no.)
2016,231,ERP_F_15,Females - 65-69 years (no.)
2017,236,ERP_F_15,Females - 65-69 years (no.)
2013,150,ERP_F_16,Females - 70-74 years (no.)
2014,160,ERP_F_16,Females - 70-74 years (no.)
2015,176,ERP_F_16,Females - 70-74 years (no.)
2016,199,ERP_F_16,Females - 70-74 years (no.)
2017,203,ERP_F_16,Females - 70-74 years (no.)
2013,134,ERP_F_17,Females - 75-79 years (no.)
2014,129,ERP_F_17,Females - 75-79 years (no.)
2015,122,ERP_F_17,Females - 75-79 years (no.)
2016,125,ERP_F_17,Females - 75-79 years (no.)
2017,134,ERP_F_17,Females - 75-79 years (no.)
2013,149,ERP_F_18,Females - 80-84 years (no.)
2014,129,ERP_F_18,Females - 80-84 years (no.)
2015,121,ERP_F_18,Females - 80-84 years (no.)
2016,106,ERP_F_18,Females - 80-84 years (no.)
2017,109,ERP_F_18,Females - 80-84 years (no.)
2013,176,ERP_F_19,Females - 85 and over (no.)
2014,196,ERP_F_19,Females - 85 and over (no.)
2015,206,ERP_F_19,Females - 85 and over (no.)
2016,214,ERP_F_19,Females - 85 and over (no.)
2017,207,ERP_F_19,Females - 85 and over (no.)
2013,6720,ERP_F_20,Females - Total (no.)
2014,6882,ERP_F_20,Females - Total (no.)
2015,7029,ERP_F_20,Females - Total (no.)
2016,7140,ERP_F_20,Females - Total (no.)
2017,7356,ERP_F_20,Females - Total (no.)
2013,810,ERP_P_2,Persons - 0-4 years (no.)
2014,801,ERP_P_2,Persons - 0-4 years (no.)
2015,797,ERP_P_2,Persons - 0-4 years (no.)
2016,796,ERP_P_2,Persons - 0-4 years (no.)
2017,774,ERP_P_2,Persons - 0-4 years (no.)
2013,620,ERP_P_3,Persons - 5-9 years (no.)
2014,677,ERP_P_3,Persons - 5-9 years (no.)
2015,694,ERP_P_3,Persons - 5-9 years (no.)
2016,697,ERP_P_3,Persons - 5-9 years (no.)
2017,675,ERP_P_3,Persons - 5-9 years (no.)
2013,474,ERP_P_4,Persons - 10-14 years (no.)
2014,468,ERP_P_4,Persons - 10-14 years (no.)
2015,501,ERP_P_4,Persons - 10-14 years (no.)
2016,518,ERP_P_4,Persons - 10-14 years (no.)
2017,574,ERP_P_4,Persons - 10-14 years (no.)
2013,525,ERP_P_5,Persons - 15-19 years (no.)
2014,561,ERP_P_5,Persons - 15-19 years (no.)
2015,572,ERP_P_5,Persons - 15-19 years (no.)
2016,591,ERP_P_5,Persons - 15-19 years (no.)
2017,585,ERP_P_5,Persons - 15-19 years (no.)
2013,1390,ERP_P_6,Persons - 20-24 years (no.)
2014,1414,ERP_P_6,Persons - 20-24 years (no.)
2015,1440,ERP_P_6,Persons - 20-24 years (no.)
2016,1472,ERP_P_6,Persons - 20-24 years (no.)
2017,1488,ERP_P_6,Persons - 20-24 years (no.)
2013,1692,ERP_P_7,Persons - 25-29 years (no.)
2014,1711,ERP_P_7,Persons - 25-29 years (no.)
2015,1741,ERP_P_7,Persons - 25-29 years (no.)
2016,1760,ERP_P_7,Persons - 25-29 years (no.)
2017,1851,ERP_P_7,Persons - 25-29 years (no.)
2013,1441,ERP_P_8,Persons - 30-34 years (no.)
2014,1489,ERP_P_8,Persons - 30-34 years (no.)
2015,1532,ERP_P_8,Persons - 30-34 years (no.)
2016,1574,ERP_P_8,Persons - 30-34 years (no.)
2017,1648,ERP_P_8,Persons - 30-34 years (no.)
2013,1111,ERP_P_9,Persons - 35-39 years (no.)
2014,1134,ERP_P_9,Persons - 35-39 years (no.)
2015,1153,ERP_P_9,Persons - 35-39 years (no.)
2016,1194,ERP_P_9,Persons - 35-39 years (no.)
2017,1271,ERP_P_9,Persons - 35-39 years (no.)
2013,1020,ERP_P_10,Persons - 40-44 years (no.)
2014,1036,ERP_P_10,Persons - 40-44 years (no.)
2015,1027,ERP_P_10,Persons - 40-44 years (no.)
2016,1011,ERP_P_10,Persons - 40-44 years (no.)
2017,933,ERP_P_10,Persons - 40-44 years (no.)
2013,757,ERP_P_11,Persons - 45-49 years (no.)
2014,783,ERP_P_11,Persons - 45-49 years (no.)
2015,833,ERP_P_11,Persons - 45-49 years (no.)
2016,846,ERP_P_11,Persons - 45-49 years (no.)
2017,894,ERP_P_11,Persons - 45-49 years (no.)
2013,703,ERP_P_12,Persons - 50-54 years (no.)
2014,735,ERP_P_12,Persons - 50-54 years (no.)
2015,729,ERP_P_12,Persons - 50-54 years (no.)
2016,741,ERP_P_12,Persons - 50-54 years (no.)
2017,752,ERP_P_12,Persons - 50-54 years (no.)
2013,633,ERP_P_13,Persons - 55-59 years (no.)
2014,617,ERP_P_13,Persons - 55-59 years (no.)
2015,648,ERP_P_13,Persons - 55-59 years (no.)
2016,661,ERP_P_13,Persons - 55-59 years (no.)
2017,672,ERP_P_13,Persons - 55-59 years (no.)
2013,481,ERP_P_14,Persons - 60-64 years (no.)
2014,509,ERP_P_14,Persons - 60-64 years (no.)
2015,532,ERP_P_14,Persons - 60-64 years (no.)
2016,543,ERP_P_14,Persons - 60-64 years (no.)
2017,557,ERP_P_14,Persons - 60-64 years (no.)
2013,381,ERP_P_15,Persons - 65-69 years (no.)
2014,421,ERP_P_15,Persons - 65-69 years (no.)
2015,432,ERP_P_15,Persons - 65-69 years (no.)
2016,437,ERP_P_15,Persons - 65-69 years (no.)
2017,449,ERP_P_15,Persons - 65-69 years (no.)
2013,296,ERP_P_16,Persons - 70-74 years (no.)
2014,315,ERP_P_16,Persons - 70-74 years (no.)
2015,346,ERP_P_16,Persons - 70-74 years (no.)
2016,382,ERP_P_16,Persons - 70-74 years (no.)
2017,394,ERP_P_16,Persons - 70-74 years (no.)
2013,217,ERP_P_17,Persons - 75-79 years (no.)
2014,226,ERP_P_17,Persons - 75-79 years (no.)
2015,231,ERP_P_17,Persons - 75-79 years (no.)
2016,247,ERP_P_17,Persons - 75-79 years (no.)
2017,269,ERP_P_17,Persons - 75-79 years (no.)
2013,249,ERP_P_18,Persons - 80-84 years (no.)
2014,221,ERP_P_18,Persons - 80-84 years (no.)
2015,204,ERP_P_18,Persons - 80-84 years (no.)
2016,190,ERP_P_18,Persons - 80-84 years (no.)
2017,200,ERP_P_18,Persons - 80-84 years (no.)
2013,260,ERP_P_19,Persons - 85 and over (no.)
2014,280,ERP_P_19,Persons - 85 and over (no.)
2015,294,ERP_P_19,Persons - 85 and over (no.)
2016,299,ERP_P_19,Persons - 85 and over (no.)
2017,301,ERP_P_19,Persons - 85 and over (no.)
2013,13060,ERP_P_20,Persons - Total (no.)
2014,13398,ERP_P_20,Persons - Total (no.)
2015,13706,ERP_P_20,Persons - Total (no.)
2016,13959,ERP_P_20,Persons - Total (no.)
2017,14304,ERP_P_20,Persons - Total (no.)
2018,14455,ERP_P_20,Persons - Total (no.)
2013,74.7,ERP_18,Working Age Population (aged 15-64 years)
2014,74.6,ERP_18,Working Age Population (aged 15-64 years)
2015,74.5,ERP_18,Working Age Population (aged 15-64 years)
2016,74.5,ERP_18,Working Age Population (aged 15-64 years)
2017,74.6,ERP_18,Working Age Population (aged 15-64 years)
2013,33.1,ERP_19,Median Age - Males (years)
2014,33,ERP_19,Median Age - Males (years)
2015,33.2,ERP_19,Median Age - Males (years)
2016,33.2,ERP_19,Median Age - Males (years)
2017,33.2,ERP_19,Median Age - Males (years)
2013,33.7,ERP_22,Median Age - Females (years)
2014,33.8,ERP_22,Median Age - Females (years)
2015,33.8,ERP_22,Median Age - Females (years)
2016,34,ERP_22,Median Age - Females (years)
2017,33.8,ERP_22,Median Age - Females (years)
2013,33.4,ERP_23,Median Age - Persons (years)
2014,33.4,ERP_23,Median Age - Persons (years)
2015,33.5,ERP_23,Median Age - Persons (years)
2016,33.6,ERP_23,Median Age - Persons (years)
2017,33.5,ERP_23,Median Age - Persons (years)
2012,3768.6,ERP_21,Population density (ERP at 30 June) (persons/km2)
2013,3872.4,ERP_21,Population density (ERP at 30 June) (persons/km2)
2014,3972.6,ERP_21,Population density (ERP at 30 June) (persons/km2)
2015,4063.9,ERP_21,Population density (ERP at 30 June) (persons/km2)
2016,4138.9,ERP_21,Population density (ERP at 30 June) (persons/km2)
2017,4241.2,ERP_21,Population density (ERP at 30 June) (persons/km2)
2018,4286,ERP_21,Population density (ERP at 30 June) (persons/km2)
2011,0.3,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2016,0.5,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2011,3.1,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2016,2.7,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2011,11.7,CENSUS_5,Born in North-West Europe (%)
2016,13.7,CENSUS_5,Born in North-West Europe (%)
2011,4.8,CENSUS_6,Born in Southern and Eastern Europe (%)
2016,4.4,CENSUS_6,Born in Southern and Eastern Europe (%)
2011,1.3,CENSUS_7,Born in North Africa and the Middle East (%)
2016,1.3,CENSUS_7,Born in North Africa and the Middle East (%)
2011,5.5,CENSUS_8,Born in South-East Asia (%)
2016,5.1,CENSUS_8,Born in South-East Asia (%)
2011,6.8,CENSUS_9,Born in North-East Asia (%)
2016,7.1,CENSUS_9,Born in North-East Asia (%)
2011,2.4,CENSUS_10,Born in Southern and Central Asia (%)
2016,2.3,CENSUS_10,Born in Southern and Central Asia (%)
2011,2.9,CENSUS_11,Born in Americas (%)
2016,3.3,CENSUS_11,Born in Americas (%)
2011,1.6,CENSUS_12,Born in Sub-Saharan Africa (%)
2016,1.6,CENSUS_12,Born in Sub-Saharan Africa (%)
2011,40,CENSUS_13,Total born overseas (%)
2016,41.4,CENSUS_13,Total born overseas (%)
2016,2.3,CENSUS_15,Buddhism (%)
2016,44.3,CENSUS_16,Christianity (%)
2016,1.2,CENSUS_17,Hinduism (%)
2016,1.1,CENSUS_18,Islam (%)
2016,2.9,CENSUS_19,Judaism (%)
2016,0.5,CENSUS_20,Other Religions (%)
2016,33.6,CENSUS_21,Secular Beliefs
2016,14.2,CENSUS_22,Religious Affiliation - Inadequately described or not stated (%)
2011,71.8,CENSUS_29,Australian citizen (%)
2016,66.9,CENSUS_29,Australian citizen (%)
2011,20.4,CENSUS_30,Not an Australian citizen (%)
2016,21.9,CENSUS_30,Not an Australian citizen (%)
2011,7.7,CENSUS_31,Australian Citizenship - Not stated (%)
2016,11.2,CENSUS_31,Australian Citizenship - Not stated (%)
2011,26.3,CENSUS_33,Speaks a Language Other Than English at Home - Proportion of total population (%)
2016,26.4,CENSUS_33,Speaks a Language Other Than English at Home - Proportion of total population (%)
2014,776,CABEE_2,Number of non-employing businesses (no.)
2015,769,CABEE_2,Number of non-employing businesses (no.)
2016,779,CABEE_2,Number of non-employing businesses (no.)
2017,803,CABEE_2,Number of non-employing businesses (no.)
2018,868,CABEE_2,Number of non-employing businesses (no.)
2014,415,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2015,415,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2016,430,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2017,450,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2018,456,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2014,100,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2015,120,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2016,108,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2017,131,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2018,118,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2014,26,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2015,21,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2016,22,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2017,23,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2018,26,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2014,1315,CABEE_5,Total number of businesses (no.)
2015,1325,CABEE_5,Total number of businesses (no.)
2016,1340,CABEE_5,Total number of businesses (no.)
2017,1407,CABEE_5,Total number of businesses (no.)
2018,1476,CABEE_5,Total number of businesses (no.)
2015,134,CABEE_7,Number of non employing business entries (no.)
2016,135,CABEE_7,Number of non employing business entries (no.)
2017,146,CABEE_7,Number of non employing business entries (no.)
2018,160,CABEE_7,Number of non employing business entries (no.)
2015,50,CABEE_8,Number of employing business entries: 1-4 employees (no.)
2016,70,CABEE_8,Number of employing business entries: 1-4 employees (no.)
2017,77,CABEE_8,Number of employing business entries: 1-4 employees (no.)
2018,60,CABEE_8,Number of employing business entries: 1-4 employees (no.)
2015,4,CABEE_9,Number of employing business entries: 5-19 employees (no.)
2017,5,CABEE_9,Number of employing business entries: 5-19 employees (no.)
2018,4,CABEE_9,Number of employing business entries: 5-19 employees (no.)
2015,183,CABEE_10,Total number of business entries (no.)
2016,208,CABEE_10,Total number of business entries (no.)
2017,224,CABEE_10,Total number of business entries (no.)
2018,228,CABEE_10,Total number of business entries (no.)
2015,114,CABEE_12,Number of non employing business exits (no.)
2016,112,CABEE_12,Number of non employing business exits (no.)
2017,96,CABEE_12,Number of non employing business exits (no.)
2018,114,CABEE_12,Number of non employing business exits (no.)
2015,31,CABEE_13,Number of employing business exits: 1-4 employees (no.)
2016,36,CABEE_13,Number of employing business exits: 1-4 employees (no.)
2017,36,CABEE_13,Number of employing business exits: 1-4 employees (no.)
2018,35,CABEE_13,Number of employing business exits: 1-4 employees (no.)
2015,3,CABEE_14,Number of employing business exits: 5-19 employees (no.)
2016,6,CABEE_14,Number of employing business exits: 5-19 employees (no.)
2017,7,CABEE_14,Number of employing business exits: 5-19 employees (no.)
2018,10,CABEE_14,Number of employing business exits: 5-19 employees (no.)
2015,3,CABEE_40,Number of employing business exits: 20 or more employees (no.)
2015,152,CABEE_15,Total number of business exits (no.)
2016,158,CABEE_15,Total number of business exits (no.)
2017,138,CABEE_15,Total number of business exits (no.)
2018,160,CABEE_15,Total number of business exits (no.)
2014,20,CABEE_19,"Agriculture, forestry and fishing (no.)"
2015,12,CABEE_19,"Agriculture, forestry and fishing (no.)"
2016,8,CABEE_19,"Agriculture, forestry and fishing (no.)"
2017,11,CABEE_19,"Agriculture, forestry and fishing (no.)"
2018,11,CABEE_19,"Agriculture, forestry and fishing (no.)"
2014,3,CABEE_28,Mining (no.)
2015,3,CABEE_28,Mining (no.)
2016,3,CABEE_28,Mining (no.)
2017,3,CABEE_28,Mining (no.)
2018,3,CABEE_28,Mining (no.)
2014,16,CABEE_27,Manufacturing (no.)
2015,19,CABEE_27,Manufacturing (no.)
2016,20,CABEE_27,Manufacturing (no.)
2017,20,CABEE_27,Manufacturing (no.)
2018,18,CABEE_27,Manufacturing (no.)
2016,3,CABEE_23,Electricity
2017,3,CABEE_23,Electricity
2018,3,CABEE_23,Electricity
2014,132,CABEE_21,Construction (no.)
2015,123,CABEE_21,Construction (no.)
2016,143,CABEE_21,Construction (no.)
2017,154,CABEE_21,Construction (no.)
2018,166,CABEE_21,Construction (no.)
2014,28,CABEE_37,Wholesale trade (no.)
2015,30,CABEE_37,Wholesale trade (no.)
2016,24,CABEE_37,Wholesale trade (no.)
2017,27,CABEE_37,Wholesale trade (no.)
2018,27,CABEE_37,Wholesale trade (no.)
2014,83,CABEE_34,Retail trade (no.)
2015,77,CABEE_34,Retail trade (no.)
2016,71,CABEE_34,Retail trade (no.)
2017,68,CABEE_34,Retail trade (no.)
2018,69,CABEE_34,Retail trade (no.)
2014,83,CABEE_17,Accommodation and food services (no.)
2015,81,CABEE_17,Accommodation and food services (no.)
2016,79,CABEE_17,Accommodation and food services (no.)
2017,85,CABEE_17,Accommodation and food services (no.)
2018,87,CABEE_17,Accommodation and food services (no.)
2014,40,CABEE_36,"Transport, postal and warehousing (no.)"
2015,39,CABEE_36,"Transport, postal and warehousing (no.)"
2016,37,CABEE_36,"Transport, postal and warehousing (no.)"
2017,49,CABEE_36,"Transport, postal and warehousing (no.)"
2018,66,CABEE_36,"Transport, postal and warehousing (no.)"
2014,31,CABEE_26,Information media and telecommunications (no.)
2015,32,CABEE_26,Information media and telecommunications (no.)
2016,29,CABEE_26,Information media and telecommunications (no.)
2017,29,CABEE_26,Information media and telecommunications (no.)
2018,32,CABEE_26,Information media and telecommunications (no.)
2014,71,CABEE_24,Financial and insurance services (no.)
2015,85,CABEE_24,Financial and insurance services (no.)
2016,91,CABEE_24,Financial and insurance services (no.)
2017,101,CABEE_24,Financial and insurance services (no.)
2018,106,CABEE_24,Financial and insurance services (no.)
2014,155,CABEE_33,"Rental, hiring and real estate services (no.)"
2015,148,CABEE_33,"Rental, hiring and real estate services (no.)"
2016,150,CABEE_33,"Rental, hiring and real estate services (no.)"
