Time,Value,MEASURE,Description
2013,1699,ERP_M_6,Males - 20-24 years (no.)
2014,1788,ERP_M_6,Males - 20-24 years (no.)
2015,1867,ERP_M_6,Males - 20-24 years (no.)
2016,1944,ERP_M_6,Males - 20-24 years (no.)
2017,2164,ERP_M_6,Males - 20-24 years (no.)
2013,1087,ERP_M_7,Males - 25-29 years (no.)
2014,1138,ERP_M_7,Males - 25-29 years (no.)
2015,1189,ERP_M_7,Males - 25-29 years (no.)
2016,1236,ERP_M_7,Males - 25-29 years (no.)
2017,1462,ERP_M_7,Males - 25-29 years (no.)
2013,614,ERP_M_8,Males - 30-34 years (no.)
2014,595,ERP_M_8,Males - 30-34 years (no.)
2015,591,ERP_M_8,Males - 30-34 years (no.)
2016,605,ERP_M_8,Males - 30-34 years (no.)
2017,616,ERP_M_8,Males - 30-34 years (no.)
2013,458,ERP_M_9,Males - 35-39 years (no.)
2014,471,ERP_M_9,Males - 35-39 years (no.)
2015,482,ERP_M_9,Males - 35-39 years (no.)
2016,460,ERP_M_9,Males - 35-39 years (no.)
2017,418,ERP_M_9,Males - 35-39 years (no.)
2013,453,ERP_M_10,Males - 40-44 years (no.)
2014,466,ERP_M_10,Males - 40-44 years (no.)
2015,443,ERP_M_10,Males - 40-44 years (no.)
2016,450,ERP_M_10,Males - 40-44 years (no.)
2017,423,ERP_M_10,Males - 40-44 years (no.)
2013,396,ERP_M_11,Males - 45-49 years (no.)
2014,393,ERP_M_11,Males - 45-49 years (no.)
2015,412,ERP_M_11,Males - 45-49 years (no.)
2016,398,ERP_M_11,Males - 45-49 years (no.)
2017,398,ERP_M_11,Males - 45-49 years (no.)
2013,354,ERP_M_12,Males - 50-54 years (no.)
2014,359,ERP_M_12,Males - 50-54 years (no.)
2015,351,ERP_M_12,Males - 50-54 years (no.)
2016,350,ERP_M_12,Males - 50-54 years (no.)
2017,333,ERP_M_12,Males - 50-54 years (no.)
2013,321,ERP_M_13,Males - 55-59 years (no.)
2014,317,ERP_M_13,Males - 55-59 years (no.)
2015,321,ERP_M_13,Males - 55-59 years (no.)
2016,324,ERP_M_13,Males - 55-59 years (no.)
2017,328,ERP_M_13,Males - 55-59 years (no.)
2013,271,ERP_M_14,Males - 60-64 years (no.)
2014,261,ERP_M_14,Males - 60-64 years (no.)
2015,260,ERP_M_14,Males - 60-64 years (no.)
2016,270,ERP_M_14,Males - 60-64 years (no.)
2017,282,ERP_M_14,Males - 60-64 years (no.)
2013,233,ERP_M_15,Males - 65-69 years (no.)
2014,256,ERP_M_15,Males - 65-69 years (no.)
2015,257,ERP_M_15,Males - 65-69 years (no.)
2016,247,ERP_M_15,Males - 65-69 years (no.)
2017,219,ERP_M_15,Males - 65-69 years (no.)
2013,181,ERP_M_16,Males - 70-74 years (no.)
2014,169,ERP_M_16,Males - 70-74 years (no.)
2015,159,ERP_M_16,Males - 70-74 years (no.)
2016,166,ERP_M_16,Males - 70-74 years (no.)
2017,166,ERP_M_16,Males - 70-74 years (no.)
2013,143,ERP_M_17,Males - 75-79 years (no.)
2014,134,ERP_M_17,Males - 75-79 years (no.)
2015,137,ERP_M_17,Males - 75-79 years (no.)
2016,143,ERP_M_17,Males - 75-79 years (no.)
2017,149,ERP_M_17,Males - 75-79 years (no.)
2013,124,ERP_M_18,Males - 80-84 years (no.)
2014,121,ERP_M_18,Males - 80-84 years (no.)
2015,117,ERP_M_18,Males - 80-84 years (no.)
2016,99,ERP_M_18,Males - 80-84 years (no.)
2017,101,ERP_M_18,Males - 80-84 years (no.)
2013,99,ERP_M_19,Males - 85 and over (no.)
2014,119,ERP_M_19,Males - 85 and over (no.)
2015,119,ERP_M_19,Males - 85 and over (no.)
2016,120,ERP_M_19,Males - 85 and over (no.)
2017,118,ERP_M_19,Males - 85 and over (no.)
2013,8023,ERP_M_20,Males - Total (no.)
2014,8222,ERP_M_20,Males - Total (no.)
2015,8359,ERP_M_20,Males - Total (no.)
2016,8463,ERP_M_20,Males - Total (no.)
2017,8754,ERP_M_20,Males - Total (no.)
2013,344,ERP_F_2,Females - 0-4 years (no.)
2014,347,ERP_F_2,Females - 0-4 years (no.)
2015,337,ERP_F_2,Females - 0-4 years (no.)
2016,325,ERP_F_2,Females - 0-4 years (no.)
2017,305,ERP_F_2,Females - 0-4 years (no.)
2013,294,ERP_F_3,Females - 5-9 years (no.)
2014,296,ERP_F_3,Females - 5-9 years (no.)
2015,299,ERP_F_3,Females - 5-9 years (no.)
2016,306,ERP_F_3,Females - 5-9 years (no.)
2017,287,ERP_F_3,Females - 5-9 years (no.)
2013,245,ERP_F_4,Females - 10-14 years (no.)
2014,247,ERP_F_4,Females - 10-14 years (no.)
2015,262,ERP_F_4,Females - 10-14 years (no.)
2016,265,ERP_F_4,Females - 10-14 years (no.)
2017,243,ERP_F_4,Females - 10-14 years (no.)
2013,536,ERP_F_5,Females - 15-19 years (no.)
2014,572,ERP_F_5,Females - 15-19 years (no.)
2015,614,ERP_F_5,Females - 15-19 years (no.)
2016,644,ERP_F_5,Females - 15-19 years (no.)
2017,601,ERP_F_5,Females - 15-19 years (no.)
2013,1505,ERP_F_6,Females - 20-24 years (no.)
2014,1585,ERP_F_6,Females - 20-24 years (no.)
2015,1657,ERP_F_6,Females - 20-24 years (no.)
2016,1736,ERP_F_6,Females - 20-24 years (no.)
2017,1970,ERP_F_6,Females - 20-24 years (no.)
2013,863,ERP_F_7,Females - 25-29 years (no.)
2014,885,ERP_F_7,Females - 25-29 years (no.)
2015,909,ERP_F_7,Females - 25-29 years (no.)
2016,925,ERP_F_7,Females - 25-29 years (no.)
2017,1128,ERP_F_7,Females - 25-29 years (no.)
2013,549,ERP_F_8,Females - 30-34 years (no.)
2014,565,ERP_F_8,Females - 30-34 years (no.)
2015,560,ERP_F_8,Females - 30-34 years (no.)
2016,562,ERP_F_8,Females - 30-34 years (no.)
2017,537,ERP_F_8,Females - 30-34 years (no.)
2013,462,ERP_F_9,Females - 35-39 years (no.)
2014,450,ERP_F_9,Females - 35-39 years (no.)
2015,461,ERP_F_9,Females - 35-39 years (no.)
2016,434,ERP_F_9,Females - 35-39 years (no.)
2017,409,ERP_F_9,Females - 35-39 years (no.)
2013,434,ERP_F_10,Females - 40-44 years (no.)
2014,448,ERP_F_10,Females - 40-44 years (no.)
2015,426,ERP_F_10,Females - 40-44 years (no.)
2016,434,ERP_F_10,Females - 40-44 years (no.)
2017,417,ERP_F_10,Females - 40-44 years (no.)
2013,441,ERP_F_11,Females - 45-49 years (no.)
2014,421,ERP_F_11,Females - 45-49 years (no.)
2015,426,ERP_F_11,Females - 45-49 years (no.)
2016,405,ERP_F_11,Females - 45-49 years (no.)
2017,383,ERP_F_11,Females - 45-49 years (no.)
2013,394,ERP_F_12,Females - 50-54 years (no.)
2014,416,ERP_F_12,Females - 50-54 years (no.)
2015,402,ERP_F_12,Females - 50-54 years (no.)
2016,407,ERP_F_12,Females - 50-54 years (no.)
2017,376,ERP_F_12,Females - 50-54 years (no.)
2013,337,ERP_F_13,Females - 55-59 years (no.)
2014,334,ERP_F_13,Females - 55-59 years (no.)
2015,329,ERP_F_13,Females - 55-59 years (no.)
2016,309,ERP_F_13,Females - 55-59 years (no.)
2017,338,ERP_F_13,Females - 55-59 years (no.)
2013,268,ERP_F_14,Females - 60-64 years (no.)
2014,279,ERP_F_14,Females - 60-64 years (no.)
2015,288,ERP_F_14,Females - 60-64 years (no.)
2016,298,ERP_F_14,Females - 60-64 years (no.)
2017,263,ERP_F_14,Females - 60-64 years (no.)
2013,258,ERP_F_15,Females - 65-69 years (no.)
2014,244,ERP_F_15,Females - 65-69 years (no.)
2015,243,ERP_F_15,Females - 65-69 years (no.)
2016,253,ERP_F_15,Females - 65-69 years (no.)
2017,246,ERP_F_15,Females - 65-69 years (no.)
2013,218,ERP_F_16,Females - 70-74 years (no.)
2014,216,ERP_F_16,Females - 70-74 years (no.)
2015,202,ERP_F_16,Females - 70-74 years (no.)
2016,182,ERP_F_16,Females - 70-74 years (no.)
2017,195,ERP_F_16,Females - 70-74 years (no.)
2013,219,ERP_F_17,Females - 75-79 years (no.)
2014,210,ERP_F_17,Females - 75-79 years (no.)
2015,196,ERP_F_17,Females - 75-79 years (no.)
2016,187,ERP_F_17,Females - 75-79 years (no.)
2017,183,ERP_F_17,Females - 75-79 years (no.)
2013,159,ERP_F_18,Females - 80-84 years (no.)
2014,157,ERP_F_18,Females - 80-84 years (no.)
2015,165,ERP_F_18,Females - 80-84 years (no.)
2016,161,ERP_F_18,Females - 80-84 years (no.)
2017,163,ERP_F_18,Females - 80-84 years (no.)
2013,119,ERP_F_19,Females - 85 and over (no.)
2014,127,ERP_F_19,Females - 85 and over (no.)
2015,127,ERP_F_19,Females - 85 and over (no.)
2016,131,ERP_F_19,Females - 85 and over (no.)
2017,123,ERP_F_19,Females - 85 and over (no.)
2013,7645,ERP_F_20,Females - Total (no.)
2014,7799,ERP_F_20,Females - Total (no.)
2015,7903,ERP_F_20,Females - Total (no.)
2016,7964,ERP_F_20,Females - Total (no.)
2017,8167,ERP_F_20,Females - Total (no.)
2013,752,ERP_P_2,Persons - 0-4 years (no.)
2014,732,ERP_P_2,Persons - 0-4 years (no.)
2015,698,ERP_P_2,Persons - 0-4 years (no.)
2016,650,ERP_P_2,Persons - 0-4 years (no.)
2017,600,ERP_P_2,Persons - 0-4 years (no.)
2013,639,ERP_P_3,Persons - 5-9 years (no.)
2014,659,ERP_P_3,Persons - 5-9 years (no.)
2015,666,ERP_P_3,Persons - 5-9 years (no.)
2016,685,ERP_P_3,Persons - 5-9 years (no.)
2017,659,ERP_P_3,Persons - 5-9 years (no.)
2013,512,ERP_P_4,Persons - 10-14 years (no.)
2014,525,ERP_P_4,Persons - 10-14 years (no.)
2015,548,ERP_P_4,Persons - 10-14 years (no.)
2016,543,ERP_P_4,Persons - 10-14 years (no.)
2017,502,ERP_P_4,Persons - 10-14 years (no.)
2013,1106,ERP_P_5,Persons - 15-19 years (no.)
2014,1181,ERP_P_5,Persons - 15-19 years (no.)
2015,1254,ERP_P_5,Persons - 15-19 years (no.)
2016,1313,ERP_P_5,Persons - 15-19 years (no.)
2017,1252,ERP_P_5,Persons - 15-19 years (no.)
2013,3204,ERP_P_6,Persons - 20-24 years (no.)
2014,3373,ERP_P_6,Persons - 20-24 years (no.)
2015,3524,ERP_P_6,Persons - 20-24 years (no.)
2016,3680,ERP_P_6,Persons - 20-24 years (no.)
2017,4134,ERP_P_6,Persons - 20-24 years (no.)
2013,1950,ERP_P_7,Persons - 25-29 years (no.)
2014,2023,ERP_P_7,Persons - 25-29 years (no.)
2015,2098,ERP_P_7,Persons - 25-29 years (no.)
2016,2161,ERP_P_7,Persons - 25-29 years (no.)
2017,2590,ERP_P_7,Persons - 25-29 years (no.)
2013,1163,ERP_P_8,Persons - 30-34 years (no.)
2014,1160,ERP_P_8,Persons - 30-34 years (no.)
2015,1151,ERP_P_8,Persons - 30-34 years (no.)
2016,1167,ERP_P_8,Persons - 30-34 years (no.)
2017,1153,ERP_P_8,Persons - 30-34 years (no.)
2013,920,ERP_P_9,Persons - 35-39 years (no.)
2014,921,ERP_P_9,Persons - 35-39 years (no.)
2015,943,ERP_P_9,Persons - 35-39 years (no.)
2016,894,ERP_P_9,Persons - 35-39 years (no.)
2017,827,ERP_P_9,Persons - 35-39 years (no.)
2013,887,ERP_P_10,Persons - 40-44 years (no.)
2014,914,ERP_P_10,Persons - 40-44 years (no.)
2015,869,ERP_P_10,Persons - 40-44 years (no.)
2016,884,ERP_P_10,Persons - 40-44 years (no.)
2017,840,ERP_P_10,Persons - 40-44 years (no.)
2013,837,ERP_P_11,Persons - 45-49 years (no.)
2014,814,ERP_P_11,Persons - 45-49 years (no.)
2015,838,ERP_P_11,Persons - 45-49 years (no.)
2016,803,ERP_P_11,Persons - 45-49 years (no.)
2017,781,ERP_P_11,Persons - 45-49 years (no.)
2013,748,ERP_P_12,Persons - 50-54 years (no.)
2014,775,ERP_P_12,Persons - 50-54 years (no.)
2015,753,ERP_P_12,Persons - 50-54 years (no.)
2016,757,ERP_P_12,Persons - 50-54 years (no.)
2017,709,ERP_P_12,Persons - 50-54 years (no.)
2013,658,ERP_P_13,Persons - 55-59 years (no.)
2014,651,ERP_P_13,Persons - 55-59 years (no.)
2015,650,ERP_P_13,Persons - 55-59 years (no.)
2016,633,ERP_P_13,Persons - 55-59 years (no.)
2017,666,ERP_P_13,Persons - 55-59 years (no.)
2013,539,ERP_P_14,Persons - 60-64 years (no.)
2014,540,ERP_P_14,Persons - 60-64 years (no.)
2015,548,ERP_P_14,Persons - 60-64 years (no.)
2016,568,ERP_P_14,Persons - 60-64 years (no.)
2017,545,ERP_P_14,Persons - 60-64 years (no.)
2013,491,ERP_P_15,Persons - 65-69 years (no.)
2014,500,ERP_P_15,Persons - 65-69 years (no.)
2015,500,ERP_P_15,Persons - 65-69 years (no.)
2016,500,ERP_P_15,Persons - 65-69 years (no.)
2017,465,ERP_P_15,Persons - 65-69 years (no.)
2013,399,ERP_P_16,Persons - 70-74 years (no.)
2014,385,ERP_P_16,Persons - 70-74 years (no.)
2015,361,ERP_P_16,Persons - 70-74 years (no.)
2016,348,ERP_P_16,Persons - 70-74 years (no.)
2017,361,ERP_P_16,Persons - 70-74 years (no.)
2013,362,ERP_P_17,Persons - 75-79 years (no.)
2014,344,ERP_P_17,Persons - 75-79 years (no.)
2015,333,ERP_P_17,Persons - 75-79 years (no.)
2016,330,ERP_P_17,Persons - 75-79 years (no.)
2017,332,ERP_P_17,Persons - 75-79 years (no.)
2013,283,ERP_P_18,Persons - 80-84 years (no.)
2014,278,ERP_P_18,Persons - 80-84 years (no.)
2015,282,ERP_P_18,Persons - 80-84 years (no.)
2016,260,ERP_P_18,Persons - 80-84 years (no.)
2017,264,ERP_P_18,Persons - 80-84 years (no.)
2013,218,ERP_P_19,Persons - 85 and over (no.)
2014,246,ERP_P_19,Persons - 85 and over (no.)
2015,246,ERP_P_19,Persons - 85 and over (no.)
2016,251,ERP_P_19,Persons - 85 and over (no.)
2017,241,ERP_P_19,Persons - 85 and over (no.)
2013,15668,ERP_P_20,Persons - Total (no.)
2014,16021,ERP_P_20,Persons - Total (no.)
2015,16262,ERP_P_20,Persons - Total (no.)
2016,16427,ERP_P_20,Persons - Total (no.)
2017,16942,ERP_P_20,Persons - Total (no.)
2018,17165,ERP_P_20,Persons - Total (no.)
2013,76.7,ERP_18,Working Age Population (aged 15-64 years)
2014,77.1,ERP_18,Working Age Population (aged 15-64 years)
2015,77.7,ERP_18,Working Age Population (aged 15-64 years)
2016,78.3,ERP_18,Working Age Population (aged 15-64 years)
2017,79.8,ERP_18,Working Age Population (aged 15-64 years)
2013,27.9,ERP_19,Median Age - Males (years)
2014,27.5,ERP_19,Median Age - Males (years)
2015,27.1,ERP_19,Median Age - Males (years)
2016,26.8,ERP_19,Median Age - Males (years)
2017,26.5,ERP_19,Median Age - Males (years)
2013,30.3,ERP_22,Median Age - Females (years)
2014,29.8,ERP_22,Median Age - Females (years)
2015,29.1,ERP_22,Median Age - Females (years)
2016,28.4,ERP_22,Median Age - Females (years)
2017,27.3,ERP_22,Median Age - Females (years)
2013,28.9,ERP_23,Median Age - Persons (years)
2014,28.5,ERP_23,Median Age - Persons (years)
2015,27.9,ERP_23,Median Age - Persons (years)
2016,27.5,ERP_23,Median Age - Persons (years)
2017,26.8,ERP_23,Median Age - Persons (years)
2012,7504.6,ERP_21,Population density (ERP at 30 June) (persons/km2)
2013,7779.2,ERP_21,Population density (ERP at 30 June) (persons/km2)
2014,7954.4,ERP_21,Population density (ERP at 30 June) (persons/km2)
2015,8074.1,ERP_21,Population density (ERP at 30 June) (persons/km2)
2016,8156,ERP_21,Population density (ERP at 30 June) (persons/km2)
2017,8411.7,ERP_21,Population density (ERP at 30 June) (persons/km2)
2018,8522.4,ERP_21,Population density (ERP at 30 June) (persons/km2)
2011,0.4,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2016,0.6,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2011,2,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2016,1.5,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2011,4.2,CENSUS_5,Born in North-West Europe (%)
2016,4.7,CENSUS_5,Born in North-West Europe (%)
2011,7,CENSUS_6,Born in Southern and Eastern Europe (%)
2016,5.5,CENSUS_6,Born in Southern and Eastern Europe (%)
2011,2,CENSUS_7,Born in North Africa and the Middle East (%)
2016,1.8,CENSUS_7,Born in North Africa and the Middle East (%)
2011,12.9,CENSUS_8,Born in South-East Asia (%)
2016,11.2,CENSUS_8,Born in South-East Asia (%)
2011,18.1,CENSUS_9,Born in North-East Asia (%)
2016,27.5,CENSUS_9,Born in North-East Asia (%)
2011,2.5,CENSUS_10,Born in Southern and Central Asia (%)
2016,3.2,CENSUS_10,Born in Southern and Central Asia (%)
2011,2.3,CENSUS_11,Born in Americas (%)
2016,2.1,CENSUS_11,Born in Americas (%)
2011,1.3,CENSUS_12,Born in Sub-Saharan Africa (%)
2016,1.1,CENSUS_12,Born in Sub-Saharan Africa (%)
2011,52.3,CENSUS_13,Total born overseas (%)
2016,58.6,CENSUS_13,Total born overseas (%)
2016,5.1,CENSUS_15,Buddhism (%)
2016,38.6,CENSUS_16,Christianity (%)
2016,1.8,CENSUS_17,Hinduism (%)
2016,3.5,CENSUS_18,Islam (%)
2016,2.8,CENSUS_19,Judaism (%)
2016,0.4,CENSUS_20,Other Religions (%)
2016,39.2,CENSUS_21,Secular Beliefs
2016,8.7,CENSUS_22,Religious Affiliation - Inadequately described or not stated (%)
2011,62.7,CENSUS_29,Australian citizen (%)
2016,55.1,CENSUS_29,Australian citizen (%)
2011,30,CENSUS_30,Not an Australian citizen (%)
2016,39.5,CENSUS_30,Not an Australian citizen (%)
2011,7.3,CENSUS_31,Australian Citizenship - Not stated (%)
2016,5.4,CENSUS_31,Australian Citizenship - Not stated (%)
2011,52.4,CENSUS_33,Speaks a Language Other Than English at Home - Proportion of total population (%)
2016,57,CENSUS_33,Speaks a Language Other Than English at Home - Proportion of total population (%)
2014,650,CABEE_2,Number of non-employing businesses (no.)
2015,669,CABEE_2,Number of non-employing businesses (no.)
2016,727,CABEE_2,Number of non-employing businesses (no.)
2017,727,CABEE_2,Number of non-employing businesses (no.)
2018,742,CABEE_2,Number of non-employing businesses (no.)
2014,346,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2015,323,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2016,336,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2017,353,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2018,348,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2014,68,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2015,68,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2016,78,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2017,84,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2018,80,CABEE_4,Number of employing businesses: 5-19 employees (no.)
2014,10,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2015,8,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2016,8,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2017,10,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2018,12,CABEE_38,Number of employing businesses: 20 or more employees (no.)
2014,1076,CABEE_5,Total number of businesses (no.)
2015,1075,CABEE_5,Total number of businesses (no.)
2016,1148,CABEE_5,Total number of businesses (no.)
2017,1172,CABEE_5,Total number of businesses (no.)
2018,1180,CABEE_5,Total number of businesses (no.)
2015,116,CABEE_7,Number of non employing business entries (no.)
2016,146,CABEE_7,Number of non employing business entries (no.)
2017,136,CABEE_7,Number of non employing business entries (no.)
2018,149,CABEE_7,Number of non employing business entries (no.)
2015,58,CABEE_8,Number of employing business entries: 1-4 employees (no.)
2016,63,CABEE_8,Number of employing business entries: 1-4 employees (no.)
2017,49,CABEE_8,Number of employing business entries: 1-4 employees (no.)
2018,50,CABEE_8,Number of employing business entries: 1-4 employees (no.)
2015,3,CABEE_9,Number of employing business entries: 5-19 employees (no.)
2016,3,CABEE_9,Number of employing business entries: 5-19 employees (no.)
2017,8,CABEE_9,Number of employing business entries: 5-19 employees (no.)
2018,6,CABEE_9,Number of employing business entries: 5-19 employees (no.)
2015,175,CABEE_10,Total number of business entries (no.)
2016,211,CABEE_10,Total number of business entries (no.)
2017,193,CABEE_10,Total number of business entries (no.)
2018,200,CABEE_10,Total number of business entries (no.)
2015,97,CABEE_12,Number of non employing business exits (no.)
2016,104,CABEE_12,Number of non employing business exits (no.)
2017,114,CABEE_12,Number of non employing business exits (no.)
2018,115,CABEE_12,Number of non employing business exits (no.)
2015,42,CABEE_13,Number of employing business exits: 1-4 employees (no.)
2016,34,CABEE_13,Number of employing business exits: 1-4 employees (no.)
2017,30,CABEE_13,Number of employing business exits: 1-4 employees (no.)
2018,37,CABEE_13,Number of employing business exits: 1-4 employees (no.)
2015,4,CABEE_14,Number of employing business exits: 5-19 employees (no.)
2016,3,CABEE_14,Number of employing business exits: 5-19 employees (no.)
2017,3,CABEE_14,Number of employing business exits: 5-19 employees (no.)
2018,3,CABEE_14,Number of employing business exits: 5-19 employees (no.)
2015,143,CABEE_15,Total number of business exits (no.)
2016,140,CABEE_15,Total number of business exits (no.)
2017,152,CABEE_15,Total number of business exits (no.)
2018,154,CABEE_15,Total number of business exits (no.)
2014,6,CABEE_19,"Agriculture, forestry and fishing (no.)"
2015,10,CABEE_19,"Agriculture, forestry and fishing (no.)"
2016,7,CABEE_19,"Agriculture, forestry and fishing (no.)"
2017,4,CABEE_19,"Agriculture, forestry and fishing (no.)"
2018,4,CABEE_19,"Agriculture, forestry and fishing (no.)"
2014,20,CABEE_27,Manufacturing (no.)
2015,23,CABEE_27,Manufacturing (no.)
2016,21,CABEE_27,Manufacturing (no.)
2017,19,CABEE_27,Manufacturing (no.)
2018,13,CABEE_27,Manufacturing (no.)
2014,3,CABEE_23,Electricity
2014,115,CABEE_21,Construction (no.)
2015,121,CABEE_21,Construction (no.)
2016,139,CABEE_21,Construction (no.)
2017,148,CABEE_21,Construction (no.)
2018,141,CABEE_21,Construction (no.)
2014,37,CABEE_37,Wholesale trade (no.)
2015,36,CABEE_37,Wholesale trade (no.)
2016,35,CABEE_37,Wholesale trade (no.)
2017,27,CABEE_37,Wholesale trade (no.)
2018,28,CABEE_37,Wholesale trade (no.)
2014,69,CABEE_34,Retail trade (no.)
2015,75,CABEE_34,Retail trade (no.)
2016,80,CABEE_34,Retail trade (no.)
2017,78,CABEE_34,Retail trade (no.)
2018,75,CABEE_34,Retail trade (no.)
2014,85,CABEE_17,Accommodation and food services (no.)
2015,85,CABEE_17,Accommodation and food services (no.)
2016,79,CABEE_17,Accommodation and food services (no.)
2017,90,CABEE_17,Accommodation and food services (no.)
2018,89,CABEE_17,Accommodation and food services (no.)
2014,77,CABEE_36,"Transport, postal and warehousing (no.)"
2015,71,CABEE_36,"Transport, postal and warehousing (no.)"
2016,86,CABEE_36,"Transport, postal and warehousing (no.)"
2017,104,CABEE_36,"Transport, postal and warehousing (no.)"
2018,123,CABEE_36,"Transport, postal and warehousing (no.)"
2014,13,CABEE_26,Information media and telecommunications (no.)
2015,11,CABEE_26,Information media and telecommunications (no.)
2016,13,CABEE_26,Information media and telecommunications (no.)
2017,18,CABEE_26,Information media and telecommunications (no.)
2018,13,CABEE_26,Information media and telecommunications (no.)
2014,62,CABEE_24,Financial and insurance services (no.)
2015,59,CABEE_24,Financial and insurance services (no.)
2016,66,CABEE_24,Financial and insurance services (no.)
2017,69,CABEE_24,Financial and insurance services (no.)
2018,70,CABEE_24,Financial and insurance services (no.)
2014,152,CABEE_33,"Rental, hiring and real estate services (no.)"
2015,165,CABEE_33,"Rental, hiring and real estate services (no.)"
2016,170,CABEE_33,"Rental, hiring and real estate services (no.)"
2017,180,CABEE_33,"Rental, hiring and real estate services (no.)"
2018,176,CABEE_33,"Rental, hiring and real estate services (no.)"
2014,178,CABEE_31,Professional Scientific & Technical Services (no.)
2015,188,CABEE_31,Professional Scientific & Technical Services (no.)
